scheme_name,eligibility_text,question,actual_data,normal_question,abc,A,B,C,D
Chief Minister Family Benefit Scheme,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Chief Minister Family Benefit Scheme,Family member or dependent of the deceased,"Are you a family member or dependent of the deceased beneficiary under the ""Chief Minister Family Benefit Scheme""?",Death (Dependent family member),Family member or dependent of the deceased?,,Has there been a death in the family for which you want to apply?,"What is your relationship with the deceased? (Legal heir,Dependent family member,Not a legal heir / dependent)",-,-
Chief Minister Family Benefit Scheme,Deceased belonged to a poor family,Are you deceased belonged to a poor family?,Death (Belongs to poor family),Deceased belonged to a poor family?,,Has there been a death in the family for which you want to apply?,"Economic status of the deceased family(Below Poverty Line (BPL),Poor (non-BPL),Above Poverty Line)",-,-
Chief Minister Family Benefit Scheme,Death not caused by suicide,Are you death not caused by suicide?,Death (Cause - Natural or Suicide or accident or intoxication or criminal incident),Death not caused by suicide?,,Has there been a death in the family for which you want to apply?,"Cause of death (Natural death,Accident,Criminal incident,Suicide,Intoxication / poisoning)",-,-
Chief Minister Kanya Utthan Yojana,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Chief Minister Kanya Utthan Yojana,Girl child,Are you girl child?,Childern -Girl child,Girl child?,,How many children do you have?,"0,1,2 , 3or more",Number of girl children,-
Chief Minister Kanya Utthan Yojana,Birth registered,Are you registered with the required authority (Birth registered)?,Other - Birth registered,Birth registered?,,What is your gender?,Birth registered?,-,-
Chief Minister Kanya Utthan Yojana,Maximum of two girl children per family,Are you maximum of two girl children per family?,Children (girl or boy),Maximum of two girl children per family?,,How many children do you have?,"0,1,2 , 3or more",Number of girl children,-
Chief Minister Nari Shakti Yojana,Permanent resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Chief Minister Nari Shakti Yojana,Adolescent girls and women,Are you adolescent girls and women?,Age - adolescent,Adolescent girls and women?,,What is your age?,-,-,-
Chief Minister Nari Shakti Yojana,Passed the preliminary examination of UPSC,Have you completed the required educational qualification (Passed the preliminary examination of UPSC)?,Educational qualification: (Passed preliminary examination of UPSC),Passed the preliminary examination of UPSC?,,What is your current / highest education level?,"Passed UPSC preliminary,Passed BPSC preliminary,Passed other competitive exam preliminary,None",-,-
Cluster Mei Bagwani Ki Yojana,Agricultural land between 0.25 acres and 10 acres,How many acres of land does the person own?,land_owned_acres,How many acres of land do you own?,,How many acres of land do you own or not own?,-,-,-
Cluster Mei Bagwani Ki Yojana,"Individual farmer, group, FPO, or cooperative society",Are you a farmer?,occupation_farmer,Are you a farmer?,,occupation,Farmer,"land in Bihar(Define place of farm)?, How many acres of land do you cultivate?,Are you registered on DBT portal as a farmer?",-
Cluster Mei Bagwani Ki Yojana,Registered on the Direct Benefit Transfer (DBT) portal,Are you registered on the Direct Benefit Transfer (DBT) portal?,dbt_registered,Are you registered on the Direct Benefit Transfer (DBT) portal?,,Are you registered on the Direct Benefit Transfer (DBT) portal?,-,-,-
Cluster Mei Bagwani Ki Yojana-II,Agricultural land between 0.25 acres and 10 acres,How many acres of land does the person own?,land_owned_acres,How many acres of land do you own?,,How many acres of land do you own or not own?,-,-,-
Cluster Mei Bagwani Ki Yojana-II,"Individual farmer, group, FPO, or cooperative society",Are you a farmer?,occupation_farmer,Are you a farmer?,,occupation,Farmer,"land in Bihar(Define place of farm)?, How many acres of land do you cultivate?,Are you registered on DBT portal as a farmer?",-
Cluster Mei Bagwani Ki Yojana-II,Registered on the Direct Benefit Transfer (DBT) portal,Are you registered on the Direct Benefit Transfer (DBT) portal?,dbt_registered,Are you registered on the Direct Benefit Transfer (DBT) portal?,,Are you registered on the Direct Benefit Transfer (DBT) portal?,-,-,-
Death Assistance Scheme (BBOCWWB),Deceased worker registered with BBOCWWB,Do you work as deceased worker registered with bbocwwb?,Death (registered with BBOCWWB),Deceased worker registered with BBOCWWB?,,Has there been a death in the family for which you want to apply?,Was the deceased registered with BBOCWWB?,-,-
Death Assistance Scheme (BBOCWWB),Applicant must be the legal heir or dependent,Are you applicant must be the legal heir or dependent?,Death - Legal Heir or dependent,Applicant must be the legal heir or dependent?,,Has there been a death in the family for which you want to apply?,"What is your relationship with the deceased? (Legal heir,Dependent family member,Not a legal heir / dependent)",-,-
Death Assistance Scheme (BBOCWWB),Active membership at the time of death,Are you a registered member of Bihar Building & Other Construction Workers Welfare Board (BBOCWWB)?,occupation_construction_worker - Active menbership or not,Active membership at the time of death?,,occupation,Construction worker,Are you registered with BBOCWWB? Is your membership active at present? How many years of continuous membership do you have?,-
Disability Pension (BBOCWWB),Registered construction worker with BBOCWWB,Are you a construction worker registered with the (BBOCWWB) Bihar Building & Other Construction Workers Welfare Board?,occupation_construction_worker,Are you engaged in building or construction work?,,occupation,Construction worker,Are you registered with BBOCWWB? Is your membership active at present? How many years of continuous membership do you have?,-
Disability Pension (BBOCWWB),Active membership with the Board,Are you a registered member of Bihar Building & Other Construction Workers Welfare Board (BBOCWWB)?,occupation_construction_worker - Active menbership or not,Active membership with the Board?,,occupation,Construction worker,Are you registered with BBOCWWB? Is your membership active at present? How many years of continuous membership do you have?,-
Disability Pension (BBOCWWB),Permanent total or partial disability caused by illness or accident,Do you have a benchmark disability (Divyangjan)?,Disabled person (Permanent total or partial disability caused by illness or accident),Permanent total or partial disability caused by illness or accident?,,Do you have a disability?,"Nature of disability(Permanent total,partial disability caused by illness or accident)","Cause of disability (Illness,Accident,Since birth / other)",-
Family Pension (BBOCWWB),Dependent of a deceased worker,Do you work as dependent of a deceased worker?,Death (Dependent family member),Dependent of a deceased worker?,,Has there been a death in the family for which you want to apply?,"What is your relationship with the deceased? (Legal heir,Dependent family member,Not a legal heir / dependent)",-,-
Family Pension (BBOCWWB),Worker was registered with BBOCWWB,Do you work as worker was registered with bbocwwb?,occupation_construction_worker,Are you registered with the Bihar Building & Other Construction Workers Welfare Board (BBOCWWB)?,,occupation,Construction worker,Are you registered with BBOCWWB? Is your membership active at present? How many years of continuous membership do you have?,-
Family Pension (BBOCWWB),Worker was receiving regular pension from the Board,Do you work as worker was receiving regular pension from the board?,Regular pension receiving,Worker was receiving regular pension from the Board?,,Are you currently receiving any pension?,-,-,-
Financial Assistance for Cremation (BBOCWWB),Applicant must be a dependent of a deceased construction worker,Are you a construction worker registered with the board?,occupation_construction_worker,Are you engaged in building or construction work?,,occupation,Construction worker,Are you registered with BBOCWWB? Is your membership active at present? How many years of continuous membership do you have?,-
Financial Assistance for Cremation (BBOCWWB),Deceased worker was registered with BBOCWWB,Do you work as deceased worker was registered with bbocwwb?,Death (registered with BBOCWWB),Deceased worker was registered with BBOCWWB?,,Has there been a death in the family for which you want to apply?,Was the deceased registered with BBOCWWB?,-,-
Financial Assistance for Cremation (BBOCWWB),Deceased worker maintained regular membership,Do you work as deceased worker maintained regular membership?,Death (registered with BBOCWWB and maintain regular membership),Deceased worker maintained regular membership?,,Has there been a death in the family for which you want to apply?,Was the deceased registered with BBOCWWB?,-,-
Financial Assistance for Marriage (BBOCWWB),Registered construction worker with BBOCWWB,Are you a construction worker registered with the (BBOCWWB) Bihar Building & Other Construction Workers Welfare Board?,occupation_construction_worker,Are you engaged in building or construction work?,,occupation,Construction worker,Are you registered with BBOCWWB? Is your membership active at present? How many years of continuous membership do you have?,-
Financial Assistance for Marriage (BBOCWWB),Daughters must be adults (18+),Are you daughters must be adults (18+)?,Age - Daughter's age,Daughters must be adults (18+)?,,What is your age?,-,-,-
Financial Assistance for Marriage (BBOCWWB),Workers who remarry are ineligible,Do you work as workers who remarry are ineligible?,marital_status_remarried,Workers who remarry are ineligible?,,What is your current marital status?,"Unmarried, Married,Divorced,Widowed,Abandoned / separated,remarried,inter-caste marriage,marriage registered, husband mentally handicapped",-,-
Financial Assistance for Marriage (BBOCWWB),Active membership at time of application,Are you a registered member of Bihar Building & Other Construction Workers Welfare Board (BBOCWWB)?,occupation_construction_worker - Active menbership or not,Active membership at time of application?,,occupation,Construction worker,Are you registered with BBOCWWB? Is your membership active at present? How many years of continuous membership do you have?,-
Financial Assistance for Marriage (BBOCWWB),Continuous membership for at least three years,Are you a registered member of Bihar Building & Other Construction Workers Welfare Board (BBOCWWB) for last 3 Years?,occupation_construction_worker - membership period,Continuous membership for at least three years?,,occupation,Construction worker,Are you registered with BBOCWWB? Is your membership active at present? How many years of continuous membership do you have?,-
Financial Assistance for Studies (BBOCWWB),Construction worker registered with BBOCWWB,Are you a construction worker registered with the board?,occupation_construction_worker,Are you engaged in building or construction work?,,occupation,Construction worker,Are you registered with BBOCWWB? Is your membership active at present? How many years of continuous membership do you have?,-
Financial Assistance for Studies (BBOCWWB),Child pursuing technical/professional course in government institution,Are you child pursuing technical/professional course in government institution?,Enrolled in School / Institution (Child pursuing technical/professional course in government institution),Child pursuing technical/professional course in government institution?,,occupation,student,Where is the currently enrolled / studying?,"Anganwadi centre (pre-school),Government school,Government-recognized private school,Government secondary school,Government-recognized secondary school,Government college / institute,Government-recognized college / institute,other"
Financial Assistance for Studies (BBOCWWB),Minimum one year of continuous membership,Are you a registered member of Bihar Building & Other Construction Workers Welfare Board (BBOCWWB)?,occupation_construction_worker - membership period,Minimum one year of continuous membership?,,occupation,Construction worker,Are you registered with BBOCWWB? Is your membership active at present? How many years of continuous membership do you have?,-
Financial Assistance for Studies (BBOCWWB),Active membership at time of application,Are you a registered member of Bihar Building & Other Construction Workers Welfare Board (BBOCWWB)?,occupation_construction_worker - Active menbership or not,Active membership at time of application?,,occupation,Construction worker,Are you registered with BBOCWWB? Is your membership active at present? How many years of continuous membership do you have?,-
Grant for Purchase of Bicycle (BBOCWWB),Minimum of one year of continuous membership,Are you a registered member of Bihar Building & Other Construction Workers Welfare Board (BBOCWWB)?,occupation_construction_worker - membership period,Minimum of one year of continuous membership?,,occupation,Construction worker,Are you registered with BBOCWWB? Is your membership active at present? How many years of continuous membership do you have?,-
Grant for Purchase of Bicycle (BBOCWWB),Active membership at the time of application,Are you a registered member of Bihar Building & Other Construction Workers Welfare Board (BBOCWWB)?,occupation_construction_worker - Active menbership or not,Active membership at the time of application?,,occupation,Construction worker,Are you registered with BBOCWWB? Is your membership active at present? How many years of continuous membership do you have?,-
Grant for Purchase of Bicycle (BBOCWWB),Engaged in building or construction work,Are you a construction worker registered with the board?,occupation_construction_worker,Are you engaged in building or construction work?,,occupation,Construction worker,Are you registered with BBOCWWB? Is your membership active at present? How many years of continuous membership do you have?,-
Grant for Purchase of Bicycle (BBOCWWB),Registered with Bihar Building & Other Construction Workers Welfare Board (BBOCWWB),Are you a construction worker registered with the board?,occupation_construction_worker,Are you engaged in building or construction work?,,occupation,Construction worker,Are you registered with BBOCWWB? Is your membership active at present? How many years of continuous membership do you have?,-
Grant for Purchase of Tools (BBOCWWB),Registered construction worker with BBOCWWB,Are you a construction worker registered with the (BBOCWWB) Bihar Building & Other Construction Workers Welfare Board?,occupation_construction_worker,Are you engaged in building or construction work?,,occupation,Construction worker,Are you registered with BBOCWWB? Is your membership active at present? How many years of continuous membership do you have?,-
Grant for Purchase of Tools (BBOCWWB),Active membership at time of application,Are you a registered member of Bihar Building & Other Construction Workers Welfare Board (BBOCWWB)?,occupation_construction_worker - Active menbership or not,Active membership at time of application?,,occupation,Construction worker,Are you registered with BBOCWWB? Is your membership active at present? How many years of continuous membership do you have?,-
Grant for Purchase of Tools (BBOCWWB),Must have completed skill upgradation training,Are you must have completed skill upgradation training?,occupation_construction_worker - training_completed (skill upgradation training),Must have completed skill upgradation training?,,occupation,Construction worker,Are you registered with BBOCWWB? Is your membership active at present? How many years of continuous membership do you have?,Must have completed skill upgradation training?
Grant for the Repair of House (BBOCWWB),Engaged in building or construction work,Are you a construction worker registered with the board?,occupation_construction_worker,Are you engaged in building or construction work?,,occupation,Construction worker,Are you registered with BBOCWWB? Is your membership active at present? How many years of continuous membership do you have?,-
Grant for the Repair of House (BBOCWWB),"Must not have received aid for house construction, bicycles, or tools previously",Are you a construction worker registered with the board?,Other,"Must not have received aid for house construction, bicycles, or tools previously?",,,-,-,-
Grant for the Repair of House (BBOCWWB),Assistance provided only once,Are you assistance provided only once?,Other,Assistance provided only once?,,,-,-,-
Grant for the Repair of House (BBOCWWB),Membership must be active at the time of application,Are you a registered member of Bihar Building & Other Construction Workers Welfare Board (BBOCWWB)?,occupation_construction_worker - Active menbership or not,Membership must be active at the time of application?,,occupation,Construction worker,Are you registered with BBOCWWB? Is your membership active at present? How many years of continuous membership do you have?,-
Grant for the Repair of House (BBOCWWB),Registered with BBOCWWB with minimum 3 years continuous membership,Are you a registered member of Bihar Building & Other Construction Workers Welfare Board (BBOCWWB) for last 3 Years?,occupation_construction_worker - membership period,Registered with BBOCWWB with minimum 3 years continuous membership?,,occupation,Construction worker,Are you registered with BBOCWWB? Is your membership active at present? How many years of continuous membership do you have?,-
Indira Gandhi National Old Age Pension Scheme- Bihar,Belong to a Below Poverty Line (BPL) family,Does your family belong to the Below Poverty Line (BPL) category?,Belong to_Below Poverty Line (BPL) family,Belong to a Below Poverty Line (BPL) family?,,What is your economic status?,Ultra-poor / below poverty line (BPL) / Above Poverty Line (APL),-,-
Indira Gandhi National Old Age Pension Scheme- Bihar,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Indira Gandhi National Old Age Pension Scheme- Bihar,Age 60 years or older,Are you 60 years old or above?,Age,What is your age?,,What is your age?,-,-,-
Indira Gandhi National Old Age Pension Scheme- Bihar,Not receiving pension benefits under any other social security scheme,Are you not receiving pension benefits under any other social security scheme?,Other - Pension,Not receiving pension benefits under any other social security scheme?,,Are you currently receiving any other government or social-security pension?,-,-,-
Indira Gandhi National Widow Pension Scheme- Bihar,Belong to a Below Poverty Line (BPL) family,Does your family belong to the Below Poverty Line (BPL) category?,Belong to_Below Poverty Line (BPL) family,Belong to a Below Poverty Line (BPL) family?,,What is your economic status?,Ultra-poor / below poverty line (BPL) / Above Poverty Line (APL),-,-
Indira Gandhi National Widow Pension Scheme- Bihar,Widow aged between 40 and 79 years,Is your age between 40 and 79 years?,Age,What is your age?,,What is your age?,-,-,-
Indira Gandhi National Widow Pension Scheme- Bihar,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Indira Gandhi National Widow Pension Scheme- Bihar,Not receiving other social security pension benefits,Are you not receiving other social security pension benefits?,other - pension,Not receiving other social security pension benefits?,,Are you currently receiving any other government or social-security pension?,-,-,-
Jan Nayak Pustakalaya evam Digital Adhyan Kendra,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Jan Nayak Pustakalaya evam Digital Adhyan Kendra,Residing in a Jannayak Karpoori Thakur or OBC/EBC welfare hostel,Are you residing in a Jannayak Karpoori Thakur or OBC/EBC welfare hostel?,Reside in- (in a Jannayak Karpoori Thakur or OBC/EBC welfare hostel),Residing in a Jannayak Karpoori Thakur or OBC/EBC welfare hostel?,,Where do you currently live?,"Government hostel,Welfare hostel (SC/ST / OBC–EBC / Minority department),Private hostel / rented accommodation,Own house,Other",-,-
Jan Nayak Pustakalaya evam Digital Adhyan Kendra,Belong to OBC or EBC category,"Do you belong to the following category: OBC, EBC?",Belong to_Catogory(OBC or EBC),Belong to OBC or EBC category?,,What is your social category?,SC / ST / OBC / BC / EBC / General,-,-
Jan-Nayak Karpoori Thakur Kalyan Hostel Scheme,Permanent resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Jan-Nayak Karpoori Thakur Kalyan Hostel Scheme,Studying in Class 10+2 or higher,Have you passed at least one of the following qualifications: 10+2?,Educational qualification: (Studying in Class 10+2 or higher),Studying in Class 10+2 or higher?,,What is your current / highest education level?,"class- 6,7,8,9,10,11,12,graduated , ITI, Polytechnic Diploma,other(specify)",-,-
Jan-Nayak Karpoori Thakur Kalyan Hostel Scheme,Enrolled in institution near the Saharsa HQ hostel,Are you enrolled in institution near the Saharsa HQ hostel?,Enrolled in School / Institution (near the Saharsa HQ hostel),Enrolled in institution near the Saharsa HQ hostel?,,occupation,student,Where is the currently enrolled / studying?,"Anganwadi centre (pre-school),Government school,Government-recognized private school,Government secondary school,Government-recognized secondary school,Government college / institute,Government-recognized college / institute,other"
Jan-Nayak Karpoori Thakur Kalyan Hostel Scheme,Belong to Extremely Backward Class (EBC),Do you belong to the following category: EBC?,Belong to_Extremely Backward Class (EBC),Belong to Extremely Backward Class (EBC)?,,What is your social category?,SC / ST / OBC / BC / EBC / General,-,-
Janani Bal Suraksha Yojana,Pregnant woman or nursing mother residing in Bihar,Are you pregnant woman or nursing mother residing in Bihar?,Pregnant woman or nursing/lactating mother ,Pregnant woman or nursing mother residing in Bihar?,,Any currently pregnant or a lactating/nursing (breastfeeding) mother?,-,-,-
Janani Bal Suraksha Yojana,Willing to undergo institutional delivery,Are you willing to undergo institutional delivery?,Pregnant woman or nursing/lactating mother -Willing to undergo institutional delivery,Willing to undergo institutional delivery?,,Any currently pregnant or a lactating/nursing (breastfeeding) mother?,Willing to undergo institutional delivery?,-,-
Kabir Anthyesthi Anudan Yojana,Deceased belonged to a Below Poverty Line (BPL) family,Does your family belong to the Below Poverty Line (BPL) category?,Death (Belongs to Below Poverty Line (BPL) family),Deceased belonged to a Below Poverty Line (BPL) family?,,Has there been a death in the family for which you want to apply?,"Economic status of the deceased family(Below Poverty Line (BPL),Poor (non-BPL),Above Poverty Line)",-,-
Kabir Anthyesthi Anudan Yojana,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Kabir Anthyesthi Anudan Yojana,Family member or dependent of the deceased,Are you a family member or a dependent of the deceased person?,Death (Dependent family member),Family member or dependent of the deceased?,,Has there been a death in the family for which you want to apply?,"What is your relationship with the deceased? (Legal heir,Dependent family member,Not a legal heir / dependent)",-,-
Khule Jalsroto Mei Pen Aadharit Matsya Paalan ki Yojana,"Groups formed from lessees of the committee in Man, Chaur, and Lake","Is your application/group formed as required: Groups formed from lessees of the committee in Man, Chaur, and Lake?",other,"Groups formed from lessees of the committee in Man, Chaur, and Lake?",,Do you own or lease land for fish pond construction?,Active member of Block Level Fishermen Cooperation Committees?,-,-
Krishi Input Anudan Yojana,Registered on the Direct Benefit Transfer (DBT) portal,Are you registered on the Direct Benefit Transfer (DBT) portal?,dbt_registered,Are you registered on the Direct Benefit Transfer (DBT) portal?,,Are you registered on the Direct Benefit Transfer (DBT) portal?,-,-,-
Krishi Input Anudan Yojana,Bank account linked with Aadhaar,Are you bank account linked with Aadhaar?,Bank account,Bank account linked with Aadhaar?,,Bank account?,Is this linked with aadhar,-,-
Krishi Input Anudan Yojana,Crop damage exceeding 33%,Are you crop damage exceeding 33%?,occupation farmer -Crop damage,Crop damage exceeding 33%?,,occupation,Farmer,Crop damage due to natural calamities? And percentage of crop damage?,-
Krishi Input Anudan Yojana,Farmer in reported Panchayats of identified blocks,Are you a farmer?,occupation_farmer,Are you a farmer?,,occupation,Farmer,"land in Bihar(Define place of farm)?, How many acres of land do you cultivate?,Are you registered on DBT portal as a farmer?",-
Lakshmi Bai Samajik Suraksha Pension Yojana,Widow woman resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Lakshmi Bai Samajik Suraksha Pension Yojana,"Annual family income of ₹60,000 or less",Is your annual family income less than or equal to ₹60000?,Family Income Annual,"Annual family income of ₹60,000 or less?",,Annual family income ?,-,-,-
Lakshmi Bai Samajik Suraksha Pension Yojana,Living below the poverty line (BPL),Does your family belong to the Below Poverty Line (BPL) category?,Belong to_Below Poverty Line (BPL) family,Living below the poverty line (BPL)?,,What is your economic status?,Ultra-poor / below poverty line (BPL) / Above Poverty Line (APL),-,-
Lakshmi Bai Samajik Suraksha Pension Yojana,Aged 18 years or more,Are you aged 18 years or more?,Age,What is your age?,,What is your age?,-,-,-
Makhana Vikas Yojana,Land area between 0.25 acres and 10 acres,How many acres of land does the person own?,land_owned_acres,How many acres of land do you own?,,How many acres of land do you own or not own?,-,-,-
Makhana Vikas Yojana,Resident of 10 specified districts,Are you a resident of 10 Specified Districts?,Resident of specified districts,Resident of 10 specified districts?,,Which district do you currently live in?,-,-,-
Makhana Vikas Yojana,Registered on the Direct Benefit Transfer (DBT) portal,Are you registered on the Direct Benefit Transfer (DBT) portal?,dbt_registered,Are you registered on the Direct Benefit Transfer (DBT) portal?,,Are you registered on the Direct Benefit Transfer (DBT) portal?,-,-,-
Makhana Vikas Yojana,Farmer,Are you a farmer?,occupation_farmer,Are you a farmer?,,occupation,Farmer,"land in Bihar(Define place of farm)?, How many acres of land do you cultivate?,Are you registered on DBT portal as a farmer?",-
Maternity Benefits Scheme (BBOCWWB),Female construction worker,Are you a construction worker registered with the board?,occupation_construction_worker_Gender,Female construction worker?,,occupation,Construction worker,Are you registered with BBOCWWB? Is your membership active at present? How many years of continuous membership do you have?,-
Maternity Benefits Scheme (BBOCWWB),Registered with BBOCWWB,Are you registered with the required authority (Registered with BBOCWWB)?,occupation_construction_worker,Are you registered with the Bihar Building & Other Construction Workers Welfare Board (BBOCWWB)?,,occupation,Construction worker,Are you registered with BBOCWWB? Is your membership active at present? How many years of continuous membership do you have?,-
Maternity Benefits Scheme (BBOCWWB),Benefit for first two childbirths only,Are you benefit for first two childbirths only?,Children,Benefit for first two childbirths only?,,How many children do you have?,"0,1,2 , 3or more",-,-
Maternity Benefits Scheme (BBOCWWB),Minimum one year of membership,Are you a registered member of Bihar Building & Other Construction Workers Welfare Board (BBOCWWB)?,occupation_construction_worker - membership period,Minimum one year of membership?,,occupation,Construction worker,Are you registered with BBOCWWB? Is your membership active at present? How many years of continuous membership do you have?,-
Maternity Benefits Scheme (BBOCWWB),Active membership at time of application,Are you a registered member of Bihar Building & Other Construction Workers Welfare Board (BBOCWWB)?,occupation_construction_worker - Active menbership or not,Active membership at time of application?,,occupation,Construction worker,Are you registered with BBOCWWB? Is your membership active at present? How many years of continuous membership do you have?,-
Mukhya Mantri Balika Poshak Yojna,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Mukhya Mantri Balika Poshak Yojna,Girl student,Are you girl student?,Occupation - Student (Girl or Boy),Girl student?,,occupation,Student,-,-
Mukhya Mantri Balika Poshak Yojna,Enrolled in Classes VI or VII,Are you enrolled in Classes VI or VII?,Educational qualification: (Enrolled in Classes VI or VII),Enrolled in Classes VI or VII?,,What is your current / highest education level?,"class- 6,7,8,9,10,11,12,graduated , ITI, Polytechnic Diploma,other(specify)",-,-
Mukhya Mantri Balika Poshak Yojna,Enrolled in a government school,Are you enrolled in a government school?,Enrolled in School / Institution (government school),Enrolled in a government school?,,occupation,student,Where is the currently enrolled / studying?,"Anganwadi centre (pre-school),Government school,Government-recognized private school,Government secondary school,Government-recognized secondary school,Government college / institute,Government-recognized college / institute,other"
Mukhyamantri Alpasankhyak Udyami Yojana,Belong to Minority community,Do you belong to the following category: MINORITY?,Belong to_minority community,Belong to Minority community?,,Do you belong to a minority community?,-,-,-
Mukhyamantri Alpasankhyak Udyami Yojana,Age between 18 and 50 years,Are you age between 18 and 50 years?,Age,What is your age?,,What is your age?,-,-,-
Mukhyamantri Alpasankhyak Udyami Yojana,Permanent resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Mukhyamantri Alpasankhyak Udyami Yojana,Business as proprietorship or partnership,Are you business as proprietorship or partnership?,Occupation - Business - proprietorship or partnership,Business as proprietorship or partnership?,,occupation,Business,"Business type - Proprietorship, Partnership",-
Mukhyamantri Alpasankhyak Udyami Yojana,"Education: 10+2, ITI, or Polytechnic Diploma","Have you passed at least one of the following qualifications: 10+2, Iti, Polytechnic Diploma?","Educational qualification: (12th, ITI, or Polytechnic Diploma, other)","Education: 10+2, ITI, or Polytechnic Diploma?",,What is your current / highest education level?,"class- 6,7,8,9,10,11,12,graduated , ITI, Polytechnic Diploma,other(specify)",-,-
Mukhyamantri Alpsankhyak Chhatravas Yojana,Native of Bihar,Are you native of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Mukhyamantri Alpsankhyak Chhatravas Yojana,Enrolled in a recognized institution,Are you enrolled in a recognized institution?,Enrolled in School / Institution (recognized institution),Enrolled in a recognized institution?,,occupation,student,Where is the currently enrolled / studying?,"Anganwadi centre (pre-school),Government school,Government-recognized private school,Government secondary school,Government-recognized secondary school,Government college / institute,Government-recognized college / institute,other"
Mukhyamantri Alpsankhyak Chhatravas Yojana,belonging to a minority community,"Are you from a Minority (Muslim, Sikh, Christian, Buddhist, Jain, or Parsi)) Community?",Belong to_minority community,belonging to a minority community?,,Do you belong to a minority community?,-,-,-
Mukhyamantri Alpsankhyak Chhatravas Yojana,A person should be a student,What is your primary occupation?,Occupation - Student,A person should be a student?,,occupation,Student,-,-
Mukhyamantri Alpsankhyak Chhatravas Yojana,Residing in a hostel operated by the Minority Welfare Department,Residing in a hostel operated by the Minority Welfare Department,Reside in-  hostel operated by the Minority Welfare Department,Residing in a hostel operated by the Minority Welfare Department?,,Where do you currently live?,"Government hostel,Welfare hostel (SC/ST / OBC–EBC / Minority department),Private hostel / rented accommodation,Own house,Other",-,-
Mukhyamantri Alpsankhyak Rozgar Rinn Yojana,Age between 18 and 50 years,Are you age between 18 and 50 years?,Age,What is your age?,,What is your age?,-,-,-
Mukhyamantri Alpsankhyak Rozgar Rinn Yojana,Permanent resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Mukhyamantri Alpsankhyak Rozgar Rinn Yojana,"Annual family income less than ₹4,00,000",Is your annual family income less than or equal to ₹4?,Family Income Annual,"Annual family income less than ₹4,00,000?",,Annual family income ?,-,-,-
Mukhyamantri Alpsankhyak Rozgar Rinn Yojana,Not a government or semi-government employee,Are you not a government or semi-government employee?,occupation_Employment - government or semi-government or other,Not a government or semi-government employee?,,occupation,employment ,"Government / PSU employee,Semi-government employee,Private sector employee,Self-employed, retired government officer)",-
Mukhyamantri Alpsankhyak Rozgar Rinn Yojana,"Belong to a minority community (Muslim, Sikh, Christian, Buddhist, Jain, or Parsi)",Do you belong to the following category: MINORITY?,Belong to_minority community,"Belong to a minority community (Muslim, Sikh, Christian, Buddhist, Jain, or Parsi)?",,Do you belong to a minority community?,-,-,-
Mukhyamantri Alpsankhyak Rozgar Rinn Yojana,Educational qualification or skill development training,Have you completed the required educational qualification (Educational qualification or skill development training)?,Educational qualification: skill development training,Educational qualification or skill development training?,,What is your current / highest education level?,any skill development training done?,-,-
Mukhyamantri Anusuchit Jati / Anusuchit Janjati Udyami Yojana,Age between 18 and 50 years,Are you age between 18 and 50 years?,Age,What is your age?,,What is your age?,-,-,-
Mukhyamantri Anusuchit Jati / Anusuchit Janjati Udyami Yojana,Permanent resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Mukhyamantri Anusuchit Jati / Anusuchit Janjati Udyami Yojana,Business as proprietorship or partnership,Are you business as proprietorship or partnership?,Occupation - Business - proprietorship or partnership,Business as proprietorship or partnership?,,occupation,Business,"Business type - Proprietorship, Partnership",-
